ACCOUNT_ID,ACCOUNT_NUMBER,SUBSIDIARY_ID,CLASS_ID,DEPARTMENT_ID,LOCATION_ID,Metric_Mapping
1631,140504,,,,127,Assets
1773,100417,,,,365,
183,600140,,,,66,Direct Operating Expense
1638,480020,,,,66,Sales
401,660015,,,,440,Direct Operating Expense
1638,480020,,,,440,Sales
1826,100028,,,,441,Assets
227,660060,,,,349,Direct Operating Expense
1730,100027,,,,56,Assets
250,680060,,,,122,Repairs & Maintenance
411,100008,,,,170,Assets
205,630105,,,,119,Direct Operating Expense
1201,100010,,,,109,Assets
999,101201,,,,111,Assets
1716,210511,,,,118,Liability
1505,230102,,,,122,Liability
108,210600,,,,439,Liability
1638,480020,,,,357,Sales
183,600140,,,,210,Direct Operating Expense
400,101999,,,,137,Assets
1638,480020,,,,435,Sales
874,600112,,,,58,Direct Operating Expense
1711,480501,,,,351,Sales
201,620110,,,,117,Direct Operating Expense
1638,480020,,,,137,Sales
323,S40001,,,,139,
1826,100028,,,,363,Assets
102,200000,,,,130,Liability
102,200000,,,,136,Liability
102,200000,,,,140,Liability
972,460322,,,,137,Sales
1713,210420,,,,343,Liability
41,101920,,,,368,Assets
277,700280,,,,122,Field G&A
277,700280,,,,170,Field G&A
1729,101804,,,,57,Assets
1729,101804,,,,115,Assets
1710,480030,,,,365,Sales
195,600400,,,,352,Corporate G&A
148,410100,,,,472,Sales
999,101201,,,,60,Assets
108,210600,,,,348,Liability
108,210600,,,,348,Liability
150,410300,,,,441,Sales
108,210600,,,,107,Liability
108,210600,,,,136,Liability
201,620110,,,,67,Direct Operating Expense
201,620110,,,,343,Direct Operating Expense
1716,210511,,,,56,Liability
202,620115,,,,129,Direct Operating Expense
1638,480020,,,,56,Sales
1638,480020,,,,125,Sales
978,460325,,,,65,Sales
41,101920,,,,342,Assets
168,480000,,,,121,Sales
168,480000,,,,366,Sales
1861,101997,,,,344,Assets
149,410200,,,,171,Sales
200,620105,,,,348,Direct Operating Expense
202,620115,,,,127,Direct Operating Expense
181,600120,,,,56,Direct Operating Expense
183,600140,,,,440,Direct Operating Expense
227,660060,,,,67,Direct Operating Expense
102,200000,,,,137,Liability
102,200000,,,,358,Liability
102,200000,,,,434,Liability
288,700380,,,,361,Field G&A
1664,100021,,,,347,Assets
1814,100506,,,,434,
324,S40002,,,,361,
1729,101804,,,,360,Assets
1729,101804,,,,365,Assets
313,800310,,,,65,Deal Expenses
50,120100,,,,64,Assets
406,101802,,,,61,Assets
1710,480030,,,,62,Sales
149,410200,,,,446,Sales
149,410200,,,,170,Sales
200,620105,,,,141,Direct Operating Expense
201,620110,,,,63,Direct Operating Expense
201,620110,,,,363,Direct Operating Expense
1679,690060,,,,57,Marketing & Advertising
